"['VIVT3.SA', 'ECOR3.SA', 'POMO4.SA', 'MULT3.SA']"
0.875
0.91
0.884
0.887
0.869
0.889
0.896
0.888
0.868
0.891
0.889
0.856
0.867
0.884
0.855
0.878
0.895
0.881
0.874
0.869
0.874
0.886
0.884
0.903
0.889
0.875
0.867
0.893
0.866
0.87
0.886
0.862
0.883
0.871
0.879
0.89
0.878
0.865
0.875
0.881
0.88
0.888
0.881
0.889
0.87
0.89
0.878
0.896
0.865
0.894
0.877
0.869
0.895
0.874
0.884
0.879
0.887
0.887
0.907
0.878
0.891
0.898
0.87
0.894
0.855
0.889
0.867
0.882
0.872
0.885
0.877
0.885
0.87
0.896
0.884
0.89
0.873
0.877
0.889
0.873
0.884
0.885
0.876
0.886
0.872
0.884
0.881
0.876
0.871
0.881
0.861
0.867
0.892
0.855
0.874
0.88
0.88
0.877
0.882
0.883
