"['UGPA3.SA', 'TEND3.SA', 'SMTO3.SA', 'CPLE3.SA']"
0.888
0.895
0.884
0.881
0.885
0.88
0.883
0.868
0.886
0.885
0.877
0.869
0.885
0.892
0.902
0.888
0.879
0.877
0.885
0.875
0.88
0.905
0.88
0.88
0.883
0.889
0.883
0.883
0.876
0.881
0.865
0.886
0.871
0.895
0.898
0.869
0.883
0.884
0.889
0.885
0.868
0.886
0.891
0.881
0.881
0.894
0.883
0.871
0.88
0.89
0.883
0.876
0.895
0.877
0.891
0.879
0.88
0.857
0.87
0.894
0.892
0.884
0.887
0.902
0.886
0.894
0.882
0.874
0.872
0.88
0.877
0.887
0.87
0.882
0.884
0.877
0.892
0.884
0.894
0.891
0.883
0.876
0.895
0.881
0.873
0.884
0.875
0.888
0.891
0.881
0.881
0.851
0.882
0.887
0.875
0.889
0.885
0.883
0.882
0.893
