"['ECOR3.SA', 'CIEL3.SA', 'MGLU3.SA', 'IRBR3.SA']"
0.731
0.712
0.721
0.746
0.743
0.725
0.74
0.701
0.715
0.725
0.73
0.742
0.759
0.71
0.731
0.742
0.73
0.691
0.724
0.732
0.713
0.704
0.719
0.709
0.748
0.732
0.698
0.721
0.698
0.706
0.709
0.739
0.734
0.717
0.708
0.722
0.723
0.738
0.704
0.712
0.736
0.709
0.722
0.703
0.724
0.721
0.721
0.727
0.714
0.724
0.731
0.746
0.726
0.728
0.726
0.72
0.738
0.727
0.73
0.722
0.724
0.727
0.725
0.737
0.719
0.709
0.733
0.741
0.729
0.738
0.745
0.733
0.724
0.732
0.704
0.728
0.711
0.737
0.711
0.732
0.725
0.768
0.744
0.712
0.736
0.716
0.745
0.734
0.723
0.753
0.733
0.728
0.74
0.731
0.732
0.722
0.739
0.722
0.709
0.731
