"['TEND3.SA', 'CSMG3.SA', 'CCRO3.SA', 'KLBN11.SA']"
0.818
0.8
0.817
0.786
0.799
0.811
0.81
0.81
0.825
0.812
0.814
0.814
0.811
0.815
0.79
0.798
0.781
0.828
0.797
0.801
0.797
0.815
0.81
0.812
0.8
0.782
0.823
0.806
0.815
0.803
0.801
0.806
0.795
0.82
0.824
0.792
0.781
0.799
0.806
0.796
0.803
0.792
0.801
0.808
0.798
0.793
0.82
0.782
0.809
0.808
0.786
0.813
0.815
0.806
0.798
0.797
0.788
0.815
0.805
0.804
0.818
0.817
0.803
0.813
0.792
0.808
0.805
0.806
0.799
0.81
0.812
0.819
0.804
0.78
0.812
0.815
0.804
0.806
0.805
0.781
0.796
0.798
0.821
0.808
0.792
0.805
0.822
0.793
0.823
0.802
0.821
0.797
0.794
0.814
0.811
0.818
0.826
0.793
0.794
0.785
