"['MOVI3.SA', 'POMO4.SA', 'EGIE3.SA', 'BBAS3.SA']"
0.873
0.892
0.904
0.886
0.894
0.894
0.886
0.919
0.902
0.887
0.89
0.889
0.902
0.904
0.922
0.904
0.864
0.9
0.892
0.903
0.891
0.894
0.913
0.894
0.895
0.89
0.903
0.908
0.896
0.907
0.896
0.894
0.899
0.897
0.888
0.905
0.907
0.902
0.908
0.899
0.889
0.913
0.909
0.889
0.909
0.898
0.894
0.895
0.901
0.895
0.906
0.904
0.884
0.891
0.897
0.889
0.891
0.905
0.887
0.897
0.885
0.9
0.894
0.907
0.911
0.899
0.894
0.89
0.9
0.877
0.913
0.895
0.901
0.877
0.906
0.896
0.885
0.903
0.9
0.901
0.884
0.905
0.898
0.885
0.899
0.907
0.897
0.901
0.904
0.909
0.882
0.884
0.89
0.909
0.889
0.887
0.891
0.902
0.896
0.905
