"['TEND3.SA', 'SMTO3.SA', 'EQTL3.SA', 'MGLU3.SA']"
0.815
0.825
0.801
0.811
0.822
0.801
0.807
0.834
0.807
0.793
0.809
0.802
0.816
0.811
0.819
0.821
0.82
0.813
0.826
0.804
0.796
0.823
0.827
0.81
0.813
0.835
0.8
0.791
0.815
0.819
0.796
0.828
0.799
0.825
0.829
0.814
0.811
0.83
0.813
0.824
0.823
0.811
0.824
0.814
0.799
0.812
0.824
0.806
0.824
0.805
0.823
0.818
0.791
0.816
0.808
0.816
0.832
0.832
0.816
0.799
0.826
0.826
0.786
0.811
0.817
0.807
0.803
0.806
0.826
0.819
0.812
0.803
0.826
0.822
0.824
0.815
0.808
0.828
0.809
0.837
0.784
0.82
0.791
0.797
0.823
0.797
0.826
0.807
0.822
0.821
0.81
0.796
0.823
0.804
0.808
0.825
0.803
0.795
0.812
0.805
