"['SMTO3.SA', 'RADL3.SA', 'SMFT3.SA', 'TEND3.SA']"
0.866
0.883
0.874
0.879
0.872
0.881
0.863
0.875
0.877
0.897
0.877
0.879
0.865
0.883
0.874
0.874
0.885
0.885
0.888
0.879
0.877
0.888
0.885
0.877
0.883
0.876
0.872
0.893
0.868
0.886
0.872
0.867
0.879
0.866
0.876
0.862
0.882
0.871
0.89
0.875
0.89
0.864
0.887
0.873
0.863
0.871
0.871
0.885
0.886
0.883
0.888
0.887
0.87
0.879
0.877
0.871
0.888
0.881
0.873
0.868
0.859
0.855
0.874
0.87
0.874
0.869
0.888
0.869
0.886
0.889
0.877
0.868
0.889
0.886
0.868
0.89
0.862
0.879
0.867
0.887
0.877
0.875
0.864
0.88
0.898
0.866
0.897
0.889
0.869
0.874
0.887
0.883
0.869
0.893
0.869
0.879
0.88
0.878
0.863
0.883
