"['CXSE3.SA', 'ECOR3.SA', 'AURE3.SA', 'SMTO3.SA']"
0.917
0.914
0.908
0.906
0.914
0.934
0.912
0.918
0.905
0.919
0.915
0.924
0.909
0.907
0.913
0.912
0.918
0.909
0.915
0.923
0.914
0.904
0.905
0.904
0.913
0.905
0.92
0.921
0.906
0.919
0.912
0.924
0.914
0.912
0.912
0.907
0.906
0.91
0.899
0.909
0.898
0.915
0.913
0.917
0.904
0.916
0.924
0.921
0.897
0.919
0.921
0.903
0.912
0.901
0.902
0.907
0.918
0.913
0.897
0.908
0.906
0.91
0.892
0.905
0.922
0.921
0.916
0.909
0.919
0.899
0.912
0.904
0.906
0.912
0.917
0.899
0.91
0.914
0.921
0.887
0.916
0.913
0.902
0.909
0.899
0.921
0.903
0.919
0.903
0.924
0.909
0.907
0.927
0.927
0.922
0.912
0.906
0.915
0.906
0.919
