"['TEND3.SA', 'IGTI11.SA', 'CSMG3.SA', 'TIMS3.SA']"
0.814
0.836
0.807
0.798
0.822
0.835
0.786
0.834
0.822
0.832
0.835
0.81
0.833
0.839
0.826
0.821
0.819
0.824
0.826
0.817
0.829
0.828
0.857
0.838
0.802
0.807
0.83
0.819
0.821
0.836
0.82
0.825
0.831
0.822
0.833
0.832
0.84
0.832
0.807
0.795
0.829
0.841
0.836
0.826
0.817
0.826
0.813
0.811
0.823
0.844
0.815
0.814
0.816
0.83
0.811
0.825
0.792
0.824
0.821
0.827
0.828
0.838
0.83
0.818
0.808
0.829
0.803
0.83
0.813
0.828
0.823
0.825
0.821
0.831
0.82
0.843
0.831
0.825
0.83
0.795
0.823
0.836
0.804
0.818
0.792
0.831
0.827
0.826
0.814
0.832
0.824
0.821
0.824
0.842
0.816
0.831
0.837
0.837
0.835
0.821
