"['EMBR3.SA', 'MGLU3.SA', 'EGIE3.SA', 'EQTL3.SA']"
0.805
0.814
0.841
0.829
0.813
0.836
0.838
0.823
0.852
0.815
0.824
0.808
0.838
0.831
0.816
0.811
0.819
0.808
0.826
0.831
0.806
0.815
0.828
0.823
0.813
0.843
0.842
0.837
0.805
0.819
0.824
0.816
0.828
0.826
0.832
0.808
0.824
0.847
0.823
0.801
0.815
0.821
0.833
0.826
0.836
0.82
0.824
0.814
0.822
0.811
0.826
0.815
0.835
0.811
0.819
0.838
0.827
0.814
0.823
0.812
0.812
0.82
0.821
0.839
0.812
0.832
0.827
0.81
0.834
0.822
0.82
0.815
0.841
0.826
0.812
0.831
0.826
0.834
0.832
0.827
0.826
0.816
0.808
0.827
0.817
0.826
0.807
0.816
0.828
0.828
0.806
0.824
0.822
0.83
0.819
0.844
0.822
0.828
0.847
0.829
