"['CMIN3.SA', 'TEND3.SA', 'BBAS3.SA', 'TIMS3.SA']"
0.94
0.935
0.928
0.918
0.944
0.938
0.945
0.928
0.94
0.926
0.934
0.937
0.937
0.916
0.929
0.929
0.915
0.924
0.94
0.928
0.923
0.944
0.946
0.934
0.955
0.915
0.934
0.938
0.938
0.932
0.941
0.943
0.928
0.933
0.948
0.935
0.933
0.923
0.939
0.932
0.923
0.93
0.938
0.934
0.938
0.938
0.926
0.935
0.922
0.942
0.922
0.928
0.93
0.944
0.933
0.923
0.937
0.934
0.941
0.939
0.939
0.931
0.933
0.943
0.932
0.935
0.917
0.926
0.933
0.929
0.939
0.926
0.943
0.933
0.941
0.944
0.931
0.939
0.926
0.928
0.922
0.928
0.951
0.934
0.925
0.934
0.941
0.931
0.927
0.932
0.94
0.939
0.929
0.931
0.94
0.946
0.932
0.931
0.936
0.928
