"['ECOR3.SA', 'MULT3.SA', 'EZTC3.SA', 'POMO4.SA']"
0.842
0.853
0.842
0.842
0.819
0.849
0.846
0.847
0.833
0.829
0.848
0.851
0.853
0.833
0.86
0.84
0.849
0.833
0.867
0.827
0.823
0.841
0.854
0.845
0.845
0.866
0.838
0.847
0.849
0.869
0.851
0.859
0.84
0.835
0.872
0.836
0.836
0.855
0.861
0.835
0.849
0.864
0.833
0.849
0.83
0.852
0.82
0.843
0.848
0.842
0.838
0.832
0.853
0.85
0.852
0.849
0.85
0.851
0.817
0.825
0.834
0.879
0.854
0.853
0.838
0.846
0.839
0.832
0.849
0.845
0.829
0.853
0.86
0.838
0.837
0.816
0.839
0.829
0.843
0.834
0.845
0.864
0.849
0.854
0.861
0.831
0.839
0.834
0.842
0.859
0.856
0.843
0.852
0.832
0.861
0.838
0.811
0.865
0.842
0.85
