"['ECOR3.SA', 'TEND3.SA', 'CMIN3.SA', 'AURE3.SA']"
0.875
0.858
0.877
0.876
0.884
0.863
0.865
0.883
0.88
0.875
0.87
0.901
0.844
0.874
0.884
0.87
0.863
0.865
0.864
0.87
0.866
0.874
0.889
0.857
0.88
0.886
0.878
0.872
0.865
0.871
0.86
0.884
0.869
0.87
0.883
0.864
0.852
0.89
0.874
0.896
0.867
0.878
0.858
0.864
0.873
0.881
0.881
0.849
0.869
0.864
0.858
0.865
0.871
0.88
0.877
0.871
0.881
0.873
0.872
0.877
0.884
0.888
0.872
0.882
0.883
0.883
0.861
0.868
0.867
0.875
0.873
0.863
0.883
0.869
0.89
0.875
0.866
0.873
0.877
0.877
0.875
0.877
0.873
0.876
0.865
0.864
0.882
0.884
0.902
0.885
0.87
0.885
0.882
0.874
0.872
0.889
0.859
0.88
0.896
0.878
