"['ECOR3.SA', 'TEND3.SA', 'TRPL4.SA', 'POMO4.SA']"
0.823
0.817
0.801
0.819
0.793
0.789
0.823
0.815
0.815
0.824
0.803
0.829
0.796
0.838
0.817
0.807
0.821
0.797
0.818
0.811
0.834
0.833
0.822
0.805
0.797
0.824
0.828
0.814
0.806
0.82
0.812
0.815
0.811
0.818
0.822
0.831
0.824
0.811
0.81
0.824
0.831
0.799
0.807
0.828
0.827
0.801
0.8
0.804
0.829
0.805
0.827
0.812
0.82
0.838
0.832
0.8
0.827
0.827
0.818
0.824
0.805
0.813
0.809
0.803
0.816
0.816
0.821
0.826
0.833
0.804
0.816
0.826
0.815
0.826
0.799
0.819
0.815
0.827
0.83
0.812
0.826
0.819
0.815
0.81
0.837
0.817
0.81
0.804
0.814
0.813
0.813
0.798
0.813
0.824
0.819
0.816
0.842
0.806
0.826
0.823
