"['IRBR3.SA', 'SMTO3.SA', 'BBAS3.SA', 'POMO4.SA']"
0.856
0.837
0.855
0.827
0.853
0.869
0.848
0.842
0.831
0.837
0.852
0.834
0.878
0.859
0.844
0.852
0.84
0.847
0.854
0.858
0.841
0.835
0.847
0.858
0.808
0.839
0.835
0.842
0.859
0.836
0.84
0.83
0.866
0.855
0.838
0.851
0.84
0.857
0.846
0.868
0.83
0.848
0.84
0.836
0.85
0.84
0.862
0.839
0.849
0.851
0.855
0.835
0.851
0.854
0.846
0.833
0.836
0.852
0.852
0.853
0.829
0.845
0.845
0.826
0.837
0.843
0.861
0.848
0.837
0.853
0.846
0.846
0.855
0.859
0.841
0.861
0.841
0.849
0.833
0.825
0.846
0.827
0.836
0.844
0.854
0.846
0.842
0.807
0.846
0.83
0.848
0.835
0.855
0.848
0.844
0.829
0.857
0.856
0.859
0.852
