"['CSMG3.SA', 'ECOR3.SA', 'TEND3.SA', 'RENT3.SA']"
0.752
0.766
0.753
0.76
0.768
0.765
0.746
0.741
0.783
0.749
0.742
0.767
0.765
0.744
0.755
0.763
0.777
0.771
0.757
0.768
0.738
0.775
0.771
0.766
0.751
0.775
0.759
0.745
0.75
0.75
0.75
0.778
0.735
0.779
0.76
0.759
0.791
0.764
0.742
0.759
0.774
0.773
0.754
0.744
0.764
0.774
0.773
0.777
0.772
0.75
0.778
0.762
0.772
0.776
0.76
0.764
0.779
0.727
0.79
0.753
0.755
0.744
0.763
0.772
0.747
0.763
0.75
0.761
0.764
0.769
0.74
0.759
0.757
0.755
0.744
0.748
0.754
0.752
0.753
0.744
0.767
0.748
0.752
0.798
0.764
0.755
0.785
0.774
0.764
0.743
0.764
0.767
0.765
0.742
0.764
0.746
0.782
0.728
0.764
0.762
