"['CCRO3.SA', 'MGLU3.SA', 'POMO4.SA', 'MULT3.SA']"
0.829
0.831
0.816
0.832
0.829
0.826
0.86
0.845
0.818
0.841
0.847
0.836
0.825
0.838
0.82
0.841
0.825
0.814
0.858
0.833
0.842
0.846
0.846
0.832
0.855
0.831
0.831
0.833
0.837
0.825
0.831
0.861
0.852
0.832
0.852
0.826
0.83
0.841
0.817
0.841
0.823
0.807
0.834
0.822
0.828
0.822
0.842
0.864
0.841
0.823
0.85
0.828
0.818
0.84
0.816
0.823
0.854
0.823
0.834
0.828
0.824
0.812
0.841
0.813
0.828
0.832
0.834
0.845
0.834
0.836
0.841
0.823
0.833
0.832
0.828
0.824
0.818
0.826
0.816
0.83
0.849
0.84
0.84
0.834
0.817
0.824
0.817
0.823
0.831
0.821
0.837
0.815
0.841
0.828
0.823
0.817
0.828
0.843
0.833
0.836
