"['TEND3.SA', 'SMTO3.SA', 'CSMG3.SA', 'EMBR3.SA']"
0.948
0.962
0.95
0.95
0.947
0.954
0.957
0.96
0.953
0.935
0.953
0.934
0.957
0.939
0.939
0.944
0.939
0.946
0.956
0.947
0.943
0.933
0.943
0.945
0.958
0.943
0.962
0.946
0.945
0.947
0.938
0.954
0.929
0.955
0.943
0.953
0.95
0.948
0.943
0.955
0.948
0.946
0.941
0.955
0.949
0.951
0.945
0.944
0.949
0.949
0.946
0.96
0.954
0.95
0.947
0.962
0.95
0.949
0.946
0.948
0.95
0.955
0.945
0.951
0.946
0.949
0.941
0.939
0.946
0.949
0.948
0.949
0.965
0.943
0.956
0.954
0.957
0.956
0.948
0.947
0.953
0.958
0.938
0.947
0.951
0.949
0.949
0.943
0.939
0.952
0.955
0.958
0.953
0.952
0.958
0.946
0.955
0.939
0.95
0.946
