"['BBAS3.SA', 'TEND3.SA', 'SMFT3.SA', 'CYRE3.SA']"
0.868
0.881
0.873
0.866
0.85
0.859
0.855
0.857
0.885
0.846
0.829
0.842
0.863
0.864
0.851
0.831
0.852
0.862
0.843
0.884
0.856
0.837
0.861
0.853
0.858
0.852
0.868
0.84
0.823
0.838
0.866
0.849
0.844
0.851
0.865
0.872
0.852
0.861
0.856
0.853
0.866
0.862
0.838
0.876
0.863
0.855
0.856
0.848
0.846
0.864
0.833
0.877
0.857
0.849
0.846
0.857
0.862
0.833
0.838
0.862
0.836
0.87
0.866
0.859
0.859
0.868
0.86
0.837
0.866
0.858
0.862
0.837
0.851
0.864
0.868
0.855
0.878
0.861
0.86
0.847
0.86
0.858
0.869
0.855
0.867
0.871
0.868
0.858
0.87
0.854
0.869
0.852
0.846
0.858
0.866
0.874
0.84
0.854
0.845
0.855
