"['ECOR3.SA', 'IGTI11.SA', 'SMTO3.SA', 'MULT3.SA']"
0.874
0.879
0.888
0.9
0.884
0.864
0.88
0.894
0.886
0.883
0.879
0.885
0.883
0.881
0.876
0.87
0.889
0.889
0.867
0.885
0.884
0.871
0.888
0.876
0.893
0.908
0.887
0.894
0.891
0.881
0.893
0.887
0.858
0.879
0.876
0.845
0.876
0.881
0.875
0.877
0.887
0.869
0.886
0.883
0.889
0.885
0.881
0.889
0.878
0.879
0.886
0.884
0.883
0.882
0.892
0.873
0.88
0.893
0.877
0.893
0.904
0.879
0.876
0.888
0.892
0.897
0.892
0.892
0.883
0.883
0.879
0.861
0.866
0.861
0.892
0.894
0.869
0.864
0.89
0.893
0.881
0.897
0.872
0.888
0.865
0.872
0.876
0.905
0.885
0.868
0.898
0.881
0.887
0.874
0.876
0.883
0.881
0.88
0.874
0.89
